beam,freq,sep,rad,sin
1.82,25000000,0.16,0.08813926747,0.08802519302
1.82,26590000,0.18,0.09922483022,0.09906208957
1.82,28400000,0.19,0.1047765148,0.1045849119
1.82,30000000,0.2,0.1103345954,0.1101108678
1.82,31600000,0.21,0.115899419,0.11564012
1.82,33200000,0.22,0.1214713347,0.121172831
1.82,35000000,0.22,0.1214713347,0.121172831
1.82,36500000,0.235,0.1298432735,0.129478737
1.82,38300000,0.245,0.1354344575,0.1350208028
1.82,40000000,0.255,0.1410339692,0.1405668927
1.82,41600000,0.26,0.1438369594,0.1433414967
1.82,43300000,0.265,0.1466421658,0.146117167
1.82,45000000,0.27,0.1494496334,0.1488939233
1.82,46700000,0.3,0.1663444622,0.1655783844
1.82,48300000,0.305,0.1691690307,0.1683633001
1.82,50000000,0.31,0.1719962258,0.1711494604
