X,CH1,Start,Increment,
Sequence,Volt,-1.38E-05,2.00E-08,
666,1.84E-02,,0.00001332,1.84E-02
667,6.13E-03,,0.00001334,6.13E-03
668,2.30E-02,,0.00001336,2.30E-02
669,4.59E-03,,0.00001338,4.59E-03
670,2.30E-02,,0.0000134,2.30E-02
671,6.13E-03,,0.00001342,6.13E-03
672,2.45E-02,,0.00001344,2.45E-02
673,1.53E-03,,0.00001346,1.53E-03
674,2.14E-02,,0.00001348,2.14E-02
675,6.13E-03,,0.0000135,6.13E-03
676,2.45E-02,,0.00001352,2.45E-02
677,0.00E+00,,0.00001354,0.00E+00
678,2.14E-02,,0.00001356,2.14E-02
679,1.53E-03,,0.00001358,1.53E-03
680,2.76E-02,,0.0000136,2.76E-02
681,9.19E-03,,0.00001362,9.19E-03
682,2.14E-02,,0.00001364,2.14E-02
683,6.13E-03,,0.00001366,6.13E-03
684,2.45E-02,,0.00001368,2.45E-02
685,6.13E-03,,0.0000137,6.13E-03
686,2.45E-02,,0.00001372,2.45E-02
687,4.59E-03,,0.00001374,4.59E-03
688,2.30E-02,,0.00001376,2.30E-02
689,6.13E-03,,0.00001378,6.13E-03
690,2.45E-02,,0.0000138,2.45E-02
691,4.59E-03,,0.00001382,4.59E-03
692,3.37E-02,,0.00001384,3.37E-02
693,1.53E-03,,0.00001386,1.53E-03
694,2.76E-02,,0.00001388,2.76E-02
695,0.00E+00,,0.0000139,0.00E+00
696,2.45E-02,,0.00001392,2.45E-02
697,1.53E-03,,0.00001394,1.53E-03
698,2.14E-02,,0.00001396,2.14E-02
699,3.06E-03,,0.00001398,3.06E-03
700,1.68E-02,,0.000014,1.68E-02
701,6.13E-03,,0.00001402,6.13E-03
702,2.45E-02,,0.00001404,2.45E-02
703,4.59E-03,,0.00001406,4.59E-03
704,2.30E-02,,0.00001408,2.30E-02
705,6.13E-03,,0.0000141,6.13E-03
706,1.84E-02,,0.00001412,1.84E-02
707,4.59E-03,,0.00001414,4.59E-03
708,2.45E-02,,0.00001416,2.45E-02
709,4.59E-03,,0.00001418,4.59E-03
710,2.60E-02,,0.0000142,2.60E-02
711,3.06E-03,,0.00001422,3.06E-03
712,2.30E-02,,0.00001424,2.30E-02
713,3.06E-03,,0.00001426,3.06E-03
714,2.14E-02,,0.00001428,2.14E-02
715,-3.06E-03,,0.0000143,-3.06E-03
716,2.14E-02,,0.00001432,2.14E-02
717,9.19E-03,,0.00001434,9.19E-03
718,2.14E-02,,0.00001436,2.14E-02
719,0.00E+00,,0.00001438,0.00E+00
720,2.91E-02,,0.0000144,2.91E-02
721,1.53E-03,,0.00001442,1.53E-03
722,1.68E-02,,0.00001444,1.68E-02
723,1.53E-03,,0.00001446,1.53E-03
724,3.06E-02,,0.00001448,3.06E-02
725,7.66E-03,,0.0000145,7.66E-03
726,1.84E-02,,0.00001452,1.84E-02
727,1.53E-03,,0.00001454,1.53E-03
728,1.84E-02,,0.00001456,1.84E-02
729,6.13E-03,,0.00001458,6.13E-03
730,1.99E-02,,0.0000146,1.99E-02
731,-1.53E-03,,0.00001462,-1.53E-03
732,2.30E-02,,0.00001464,2.30E-02
733,1.53E-03,,0.00001466,1.53E-03
734,2.76E-02,,0.00001468,2.76E-02
735,7.66E-03,,0.0000147,7.66E-03
736,2.14E-02,,0.00001472,2.14E-02
737,6.13E-03,,0.00001474,6.13E-03
738,2.91E-02,,0.00001476,2.91E-02
739,3.06E-03,,0.00001478,3.06E-03
740,2.45E-02,,0.0000148,2.45E-02
741,0.00E+00,,0.00001482,0.00E+00
742,1.68E-02,,0.00001484,1.68E-02
743,1.53E-03,,0.00001486,1.53E-03
744,2.14E-02,,0.00001488,2.14E-02
745,3.06E-03,,0.0000149,3.06E-03
746,2.30E-02,,0.00001492,2.30E-02
747,-1.53E-03,,0.00001494,-1.53E-03
748,1.99E-02,,0.00001496,1.99E-02
749,-4.59E-03,,0.00001498,-4.59E-03
750,1.53E-02,,0.000015,1.53E-02
751,-1.53E-03,,0.00001502,-1.53E-03
752,2.30E-02,,0.00001504,2.30E-02
753,1.53E-03,,0.00001506,1.53E-03
754,2.30E-02,,0.00001508,2.30E-02
755,1.53E-03,,0.0000151,1.53E-03
756,2.76E-02,,0.00001512,2.76E-02
757,4.59E-03,,0.00001514,4.59E-03
758,1.99E-02,,0.00001516,1.99E-02
759,3.06E-03,,0.00001518,3.06E-03
760,2.30E-02,,0.0000152,2.30E-02
761,-1.53E-03,,0.00001522,-1.53E-03
762,2.30E-02,,0.00001524,2.30E-02
763,7.66E-03,,0.00001526,7.66E-03
764,1.99E-02,,0.00001528,1.99E-02
765,1.53E-03,,0.0000153,1.53E-03
766,1.99E-02,,0.00001532,1.99E-02
767,7.66E-03,,0.00001534,7.66E-03
768,1.99E-02,,0.00001536,1.99E-02
769,3.06E-03,,0.00001538,3.06E-03
770,2.45E-02,,0.0000154,2.45E-02
771,6.13E-03,,0.00001542,6.13E-03
772,1.68E-02,,0.00001544,1.68E-02
773,-1.53E-03,,0.00001546,-1.53E-03
774,1.99E-02,,0.00001548,1.99E-02
775,6.13E-03,,0.0000155,6.13E-03
776,1.99E-02,,0.00001552,1.99E-02
777,4.59E-03,,0.00001554,4.59E-03
778,2.91E-02,,0.00001556,2.91E-02
779,1.53E-03,,0.00001558,1.53E-03
780,2.60E-02,,0.0000156,2.60E-02
781,1.53E-03,,0.00001562,1.53E-03
782,2.45E-02,,0.00001564,2.45E-02
783,7.66E-03,,0.00001566,7.66E-03
784,1.99E-02,,0.00001568,1.99E-02
785,3.06E-03,,0.0000157,3.06E-03
786,1.84E-02,,0.00001572,1.84E-02
787,6.13E-03,,0.00001574,6.13E-03
788,1.99E-02,,0.00001576,1.99E-02
789,0.00E+00,,0.00001578,0.00E+00
790,2.76E-02,,0.0000158,2.76E-02
791,4.59E-03,,0.00001582,4.59E-03
792,2.14E-02,,0.00001584,2.14E-02
793,3.06E-03,,0.00001586,3.06E-03
794,2.60E-02,,0.00001588,2.60E-02
795,3.06E-03,,0.0000159,3.06E-03
796,2.45E-02,,0.00001592,2.45E-02
797,3.06E-03,,0.00001594,3.06E-03
798,2.60E-02,,0.00001596,2.60E-02
799,3.06E-03,,0.00001598,3.06E-03
800,2.14E-02,,0.000016,2.14E-02
801,4.59E-03,,0.00001602,4.59E-03
802,1.99E-02,,0.00001604,1.99E-02
803,1.53E-03,,0.00001606,1.53E-03
804,2.45E-02,,0.00001608,2.45E-02
805,4.59E-03,,0.0000161,4.59E-03
806,2.45E-02,,0.00001612,2.45E-02
807,7.66E-03,,0.00001614,7.66E-03
808,1.99E-02,,0.00001616,1.99E-02
809,1.53E-03,,0.00001618,1.53E-03
810,2.14E-02,,0.0000162,2.14E-02
811,4.59E-03,,0.00001622,4.59E-03
812,1.84E-02,,0.00001624,1.84E-02
813,4.59E-03,,0.00001626,4.59E-03
814,2.30E-02,,0.00001628,2.30E-02
815,6.13E-03,,0.0000163,6.13E-03
816,2.45E-02,,0.00001632,2.45E-02
817,6.13E-03,,0.00001634,6.13E-03
818,2.30E-02,,0.00001636,2.30E-02
819,7.66E-03,,0.00001638,7.66E-03
820,1.84E-02,,0.0000164,1.84E-02
821,0.00E+00,,0.00001642,0.00E+00
822,2.30E-02,,0.00001644,2.30E-02
823,3.06E-03,,0.00001646,3.06E-03
824,2.60E-02,,0.00001648,2.60E-02
825,6.13E-03,,0.0000165,6.13E-03
826,2.60E-02,,0.00001652,2.60E-02
827,1.53E-03,,0.00001654,1.53E-03
828,2.60E-02,,0.00001656,2.60E-02
829,6.13E-03,,0.00001658,6.13E-03
830,2.60E-02,,0.0000166,2.60E-02
831,7.66E-03,,0.00001662,7.66E-03
832,2.45E-02,,0.00001664,2.45E-02
833,3.06E-03,,0.00001666,3.06E-03
834,2.30E-02,,0.00001668,2.30E-02
835,6.13E-03,,0.0000167,6.13E-03
836,3.37E-02,,0.00001672,3.37E-02
837,6.13E-03,,0.00001674,6.13E-03
838,1.99E-02,,0.00001676,1.99E-02
839,-1.53E-03,,0.00001678,-1.53E-03
840,2.30E-02,,0.0000168,2.30E-02
841,7.66E-03,,0.00001682,7.66E-03
842,2.14E-02,,0.00001684,2.14E-02
843,0.00E+00,,0.00001686,0.00E+00
844,2.45E-02,,0.00001688,2.45E-02
845,3.06E-03,,0.0000169,3.06E-03
846,1.84E-02,,0.00001692,1.84E-02
847,4.59E-03,,0.00001694,4.59E-03
848,2.30E-02,,0.00001696,2.30E-02
849,4.59E-03,,0.00001698,4.59E-03
850,2.60E-02,,0.000017,2.60E-02
851,7.66E-03,,0.00001702,7.66E-03
852,2.30E-02,,0.00001704,2.30E-02
853,6.13E-03,,0.00001706,6.13E-03
854,1.99E-02,,0.00001708,1.99E-02
855,-1.53E-03,,0.0000171,-1.53E-03
856,2.14E-02,,0.00001712,2.14E-02
857,-3.06E-03,,0.00001714,-3.06E-03
858,1.84E-02,,0.00001716,1.84E-02
859,1.53E-03,,0.00001718,1.53E-03
860,2.14E-02,,0.0000172,2.14E-02
861,7.66E-03,,0.00001722,7.66E-03
862,2.14E-02,,0.00001724,2.14E-02
863,1.53E-03,,0.00001726,1.53E-03
864,2.30E-02,,0.00001728,2.30E-02
865,4.59E-03,,0.0000173,4.59E-03
866,3.06E-02,,0.00001732,3.06E-02
867,4.59E-03,,0.00001734,4.59E-03
868,1.99E-02,,0.00001736,1.99E-02
869,7.66E-03,,0.00001738,7.66E-03
870,2.30E-02,,0.0000174,2.30E-02
871,6.13E-03,,0.00001742,6.13E-03
872,1.84E-02,,0.00001744,1.84E-02
873,-3.06E-03,,0.00001746,-3.06E-03
874,3.06E-02,,0.00001748,3.06E-02
875,6.13E-03,,0.0000175,6.13E-03
876,2.45E-02,,0.00001752,2.45E-02
877,-1.53E-03,,0.00001754,-1.53E-03
878,2.14E-02,,0.00001756,2.14E-02
879,3.06E-03,,0.00001758,3.06E-03
880,2.76E-02,,0.0000176,2.76E-02
881,3.06E-03,,0.00001762,3.06E-03
882,2.76E-02,,0.00001764,2.76E-02
883,4.59E-03,,0.00001766,4.59E-03
884,2.30E-02,,0.00001768,2.30E-02
885,4.59E-03,,0.0000177,4.59E-03
886,2.45E-02,,0.00001772,2.45E-02
887,3.06E-03,,0.00001774,3.06E-03
888,2.76E-02,,0.00001776,2.76E-02
889,4.59E-03,,0.00001778,4.59E-03
890,2.76E-02,,0.0000178,2.76E-02
891,-3.06E-03,,0.00001782,-3.06E-03
892,1.84E-02,,0.00001784,1.84E-02
893,6.13E-03,,0.00001786,6.13E-03
894,2.45E-02,,0.00001788,2.45E-02
895,0.00E+00,,0.0000179,0.00E+00
