X,CH1,Start,Increment
Sequence,Volt,-1.40E-06,2.00E-09
0,5.63E-02,0,5.63E-02
1,5.31E-02,0.000000002,5.31E-02
2,6.06E-02,0.000000004,6.06E-02
3,5.31E-02,0.000000006,5.31E-02
4,6.44E-02,0.000000008,6.44E-02
5,6.13E-02,0.00000001,6.13E-02
6,6.38E-02,0.000000012,6.38E-02
7,5.81E-02,0.000000014,5.81E-02
8,5.88E-02,0.000000016,5.88E-02
9,5.50E-02,0.000000018,5.50E-02
10,6.56E-02,0.00000002,6.56E-02
11,5.44E-02,0.000000022,5.44E-02
12,7.44E-02,0.000000024,7.44E-02
13,6.69E-02,0.000000026,6.69E-02
14,7.50E-02,0.000000028,7.50E-02
15,7.38E-02,0.00000003,7.38E-02
16,7.31E-02,0.000000032,7.31E-02
17,6.56E-02,0.000000034,6.56E-02
18,6.56E-02,0.000000036,6.56E-02
19,5.63E-02,0.000000038,5.63E-02
20,5.56E-02,0.00000004,5.56E-02
21,5.25E-02,0.000000042,5.25E-02
22,5.50E-02,0.000000044,5.50E-02
23,5.31E-02,0.000000046,5.31E-02
24,6.00E-02,0.000000048,6.00E-02
25,5.38E-02,0.00000005,5.38E-02
26,6.31E-02,0.000000052,6.31E-02
27,6.00E-02,0.000000054,6.00E-02
28,6.31E-02,0.000000056,6.31E-02
29,5.81E-02,0.000000058,5.81E-02
30,5.75E-02,0.00000006,5.75E-02
31,4.88E-02,0.000000062,4.88E-02
32,4.75E-02,0.000000064,4.75E-02
33,4.50E-02,0.000000066,4.50E-02
34,6.19E-02,0.000000068,6.19E-02
35,4.75E-02,0.00000007,4.75E-02
36,7.63E-02,0.000000072,7.63E-02
37,6.25E-02,0.000000074,6.25E-02
38,7.75E-02,0.000000076,7.75E-02
39,7.56E-02,0.000000078,7.56E-02
40,7.50E-02,0.00000008,7.50E-02
41,6.88E-02,0.000000082,6.88E-02
42,6.81E-02,0.000000084,6.81E-02
43,5.75E-02,0.000000086,5.75E-02
44,5.69E-02,0.000000088,5.69E-02
45,5.44E-02,0.00000009,5.44E-02
46,5.50E-02,0.000000092,5.50E-02
47,5.25E-02,0.000000094,5.25E-02
48,6.50E-02,0.000000096,6.50E-02
49,5.31E-02,0.000000098,5.31E-02
50,8.00E-02,0.0000001,8.00E-02
51,6.56E-02,0.000000102,6.56E-02
52,8.19E-02,0.000000104,8.19E-02
53,6.88E-02,0.000000106,6.88E-02
54,6.81E-02,0.000000108,6.81E-02
55,6.31E-02,0.00000011,6.31E-02
56,6.69E-02,0.000000112,6.69E-02
57,6.31E-02,0.000000114,6.31E-02
58,6.81E-02,0.000000116,6.81E-02
59,6.06E-02,0.000000118,6.06E-02
60,6.00E-02,0.00000012,6.00E-02
61,5.38E-02,0.000000122,5.38E-02
62,6.00E-02,0.000000124,6.00E-02
63,5.38E-02,0.000000126,5.38E-02
64,6.31E-02,0.000000128,6.31E-02
65,5.94E-02,0.00000013,5.94E-02
66,7.00E-02,0.000000132,7.00E-02
67,6.31E-02,0.000000134,6.31E-02
68,6.94E-02,0.000000136,6.94E-02
69,5.31E-02,0.000000138,5.31E-02
70,5.19E-02,0.00000014,5.19E-02
71,4.81E-02,0.000000142,4.81E-02
72,5.81E-02,0.000000144,5.81E-02
73,5.06E-02,0.000000146,5.06E-02
74,5.88E-02,0.000000148,5.88E-02
75,5.63E-02,0.00000015,5.63E-02
76,5.75E-02,0.000000152,5.75E-02
77,5.56E-02,0.000000154,5.56E-02
78,5.81E-02,0.000000156,5.81E-02
79,5.44E-02,0.000000158,5.44E-02
80,5.44E-02,0.00000016,5.44E-02
81,5.19E-02,0.000000162,5.19E-02
82,6.69E-02,0.000000164,6.69E-02
83,5.38E-02,0.000000166,5.38E-02
84,8.06E-02,0.000000168,8.06E-02
