X,CH1,Start,Increment
173,,0.00000346,8.12E-02
174,,0.00000348,1.23E-01
175,,0.0000035,7.04E-02
176,,0.00000352,1.12E-01
177,,0.00000354,8.88E-02
178,,0.00000356,1.03E-01
179,,0.00000358,7.96E-02
180,,0.0000036,1.06E-01
181,,0.00000362,7.66E-02
182,,0.00000364,1.13E-01
183,,0.00000366,7.20E-02
184,,0.00000368,1.09E-01
185,,0.0000037,7.96E-02
186,,0.00000372,1.12E-01
187,,0.00000374,7.50E-02
188,,0.00000376,1.16E-01
189,,0.00000378,7.96E-02
190,,0.0000038,1.01E-01
191,,0.00000382,8.42E-02
192,,0.00000384,1.09E-01
193,,0.00000386,8.58E-02
194,,0.00000388,1.07E-01
195,,0.0000039,8.42E-02
196,,0.00000392,1.09E-01
197,,0.00000394,7.35E-02
198,,0.00000396,1.12E-01
199,,0.00000398,9.03E-02
200,,0.000004,1.10E-01
201,,0.00000402,8.58E-02
202,,0.00000404,1.12E-01
203,,0.00000406,8.12E-02
204,,0.00000408,1.06E-01
205,,0.0000041,6.89E-02
206,,0.00000412,1.07E-01
207,,0.00000414,7.04E-02
208,,0.00000416,1.06E-01
209,,0.00000418,8.12E-02
210,,0.0000042,1.09E-01
211,,0.00000422,8.73E-02
212,,0.00000424,1.19E-01
213,,0.00000426,8.42E-02
214,,0.00000428,1.04E-01
215,,0.0000043,7.96E-02
216,,0.00000432,1.09E-01
217,,0.00000434,8.58E-02
218,,0.00000436,1.09E-01
219,,0.00000438,8.27E-02
220,,0.0000044,1.13E-01
221,,0.00000442,7.81E-02
222,,0.00000444,1.10E-01
223,,0.00000446,8.42E-02
224,,0.00000448,1.04E-01
225,,0.0000045,7.35E-02
226,,0.00000452,1.10E-01
227,,0.00000454,8.12E-02
228,,0.00000456,1.09E-01
229,,0.00000458,7.81E-02
230,,0.0000046,1.12E-01
231,,0.00000462,8.27E-02
232,,0.00000464,1.13E-01
233,,0.00000466,8.58E-02
234,,0.00000468,1.09E-01
235,,0.0000047,8.12E-02
236,,0.00000472,1.06E-01
237,,0.00000474,8.12E-02
238,,0.00000476,1.07E-01
239,,0.00000478,8.42E-02
240,,0.0000048,1.12E-01
241,,0.00000482,8.58E-02
242,,0.00000484,1.04E-01
243,,0.00000486,8.88E-02
244,,0.00000488,1.12E-01
245,,0.0000049,8.42E-02
246,,0.00000492,1.07E-01
247,,0.00000494,8.42E-02
248,,0.00000496,1.10E-01
249,,0.00000498,8.42E-02
250,,0.000005,1.21E-01
251,,0.00000502,8.27E-02
252,,0.00000504,1.16E-01
253,,0.00000506,8.58E-02
254,,0.00000508,1.13E-01
255,,0.0000051,8.42E-02
256,,0.00000512,1.12E-01
257,,0.00000514,8.12E-02
258,,0.00000516,1.06E-01
259,,0.00000518,8.12E-02
260,,0.0000052,1.16E-01
261,,0.00000522,7.96E-02
262,,0.00000524,1.09E-01
263,,0.00000526,8.27E-02
264,,0.00000528,1.12E-01
265,,0.0000053,7.96E-02
266,,0.00000532,1.12E-01
267,,0.00000534,7.66E-02
268,,0.00000536,1.10E-01
269,,0.00000538,8.12E-02
270,,0.0000054,1.09E-01
271,,0.00000542,8.42E-02
272,,0.00000544,1.09E-01
273,,0.00000546,7.96E-02
274,,0.00000548,1.19E-01
275,,0.0000055,8.12E-02
276,,0.00000552,1.04E-01
277,,0.00000554,7.20E-02
278,,0.00000556,1.09E-01
279,,0.00000558,8.73E-02
280,,0.0000056,1.09E-01
281,,0.00000562,7.66E-02
282,,0.00000564,1.13E-01
283,,0.00000566,7.04E-02
284,,0.00000568,1.12E-01
285,,0.0000057,8.88E-02
286,,0.00000572,1.07E-01
287,,0.00000574,7.81E-02
288,,0.00000576,9.80E-02
289,,0.00000578,7.81E-02
290,,0.0000058,1.01E-01
291,,0.00000582,6.28E-02
292,,0.00000584,1.12E-01
293,,0.00000586,8.12E-02
294,,0.00000588,1.12E-01
295,,0.0000059,7.66E-02
296,,0.00000592,1.09E-01
297,,0.00000594,8.27E-02
298,,0.00000596,1.09E-01
299,,0.00000598,7.35E-02
300,,0.000006,1.01E-01
301,,0.00000602,8.42E-02
