X,CH1,Start,Increment
Sequence,Volt,-7.00E-08,1.00E-10
0,1.84E-01,0,1.84E-01
1,1.84E-01,1E-10,1.84E-01
2,1.82E-01,2E-10,1.82E-01
3,1.82E-01,3E-10,1.82E-01
4,1.85E-01,4E-10,1.85E-01
5,1.85E-01,5E-10,1.85E-01
6,1.84E-01,6E-10,1.84E-01
7,1.84E-01,7E-10,1.84E-01
8,1.87E-01,8E-10,1.87E-01
9,1.87E-01,9E-10,1.87E-01
10,1.85E-01,0.000000001,1.85E-01
11,1.85E-01,1.1E-09,1.85E-01
12,1.87E-01,1.2E-09,1.87E-01
13,1.87E-01,1.3E-09,1.87E-01
14,1.87E-01,1.4E-09,1.87E-01
15,1.87E-01,1.5E-09,1.87E-01
16,1.87E-01,1.6E-09,1.87E-01
17,1.87E-01,1.7E-09,1.87E-01
18,1.86E-01,1.8E-09,1.86E-01
19,1.86E-01,1.9E-09,1.86E-01
20,1.88E-01,0.000000002,1.88E-01
21,1.88E-01,2.1E-09,1.88E-01
22,1.87E-01,2.2E-09,1.87E-01
23,1.87E-01,2.3E-09,1.87E-01
24,1.88E-01,2.4E-09,1.88E-01
25,1.88E-01,2.5E-09,1.88E-01
26,1.88E-01,2.6E-09,1.88E-01
27,1.88E-01,2.7E-09,1.88E-01
28,1.88E-01,2.8E-09,1.88E-01
29,1.88E-01,2.9E-09,1.88E-01
30,1.88E-01,0.000000003,1.88E-01
31,1.88E-01,3.1E-09,1.88E-01
32,1.86E-01,3.2E-09,1.86E-01
33,1.86E-01,3.3E-09,1.86E-01
34,1.87E-01,3.4E-09,1.87E-01
35,1.87E-01,3.5E-09,1.87E-01
36,1.87E-01,3.6E-09,1.87E-01
37,1.87E-01,3.7E-09,1.87E-01
38,1.87E-01,3.8E-09,1.87E-01
39,1.87E-01,3.9E-09,1.87E-01
40,1.86E-01,0.000000004,1.86E-01
41,1.86E-01,4.1E-09,1.86E-01
42,1.86E-01,4.2E-09,1.86E-01
43,1.86E-01,4.3E-09,1.86E-01
44,1.85E-01,4.4E-09,1.85E-01
45,1.85E-01,4.5E-09,1.85E-01
46,1.85E-01,4.6E-09,1.85E-01
47,1.85E-01,4.7E-09,1.85E-01
48,1.84E-01,4.8E-09,1.84E-01
49,1.84E-01,4.9E-09,1.84E-01
50,1.83E-01,0.000000005,1.83E-01
51,1.83E-01,5.1E-09,1.83E-01
52,1.84E-01,5.2E-09,1.84E-01
53,1.84E-01,5.3E-09,1.84E-01
54,1.83E-01,5.4E-09,1.83E-01
55,1.83E-01,5.5E-09,1.83E-01
56,1.82E-01,5.6E-09,1.82E-01
57,1.82E-01,5.7E-09,1.82E-01
58,1.82E-01,5.8E-09,1.82E-01
59,1.82E-01,5.9E-09,1.82E-01
60,1.83E-01,0.000000006,1.83E-01
61,1.83E-01,6.1E-09,1.83E-01
62,1.83E-01,6.2E-09,1.83E-01
63,1.83E-01,6.3E-09,1.83E-01
64,1.82E-01,6.4E-09,1.82E-01
65,1.82E-01,6.5E-09,1.82E-01
66,1.82E-01,6.6E-09,1.82E-01
67,1.82E-01,6.7E-09,1.82E-01
68,1.83E-01,6.8E-09,1.83E-01
69,1.83E-01,6.9E-09,1.83E-01
70,1.82E-01,0.000000007,1.82E-01
71,1.82E-01,7.1E-09,1.82E-01
72,1.84E-01,7.2E-09,1.84E-01
73,1.84E-01,7.3E-09,1.84E-01
74,1.83E-01,7.4E-09,1.83E-01
75,1.83E-01,7.5E-09,1.83E-01
76,1.83E-01,7.6E-09,1.83E-01
77,1.83E-01,7.7E-09,1.83E-01
78,1.84E-01,7.8E-09,1.84E-01
79,1.84E-01,7.9E-09,1.84E-01
80,1.85E-01,0.000000008,1.85E-01
81,1.85E-01,8.1E-09,1.85E-01
82,1.84E-01,8.2E-09,1.84E-01
83,1.84E-01,8.3E-09,1.84E-01
84,1.88E-01,8.4E-09,1.88E-01
85,1.88E-01,8.5E-09,1.88E-01
86,1.87E-01,8.6E-09,1.87E-01
87,1.87E-01,8.7E-09,1.87E-01
88,1.88E-01,8.8E-09,1.88E-01
89,1.88E-01,8.9E-09,1.88E-01
90,1.88E-01,0.000000009,1.88E-01
91,1.88E-01,9.1E-09,1.88E-01
92,1.89E-01,9.2E-09,1.89E-01
93,1.89E-01,9.3E-09,1.89E-01
94,1.88E-01,9.4E-09,1.88E-01
95,1.88E-01,9.5E-09,1.88E-01
96,1.93E-01,9.6E-09,1.93E-01
97,1.93E-01,9.7E-09,1.93E-01
